target,feature,mean_abs_shap_test,value_shap_corr
Zymoseptoria_tritici_Crop_Incidence,autumn_thermal_time,0.23737231,0.8445012032341895
Zymoseptoria_tritici_Crop_Incidence,autumn_wetness_hours,0.27777514,-0.7519475988461237
Zymoseptoria_tritici_Crop_Incidence,autumn_wet_day_frac,0.23411205,-0.8308195176931048
Zymoseptoria_tritici_Crop_Incidence,autumn_splash_risk,0.047476143,-0.7491844216624991
Zymoseptoria_tritici_Crop_Incidence,winter_thermal_time,0.14950612,-0.8478651871546353
Zymoseptoria_tritici_Crop_Incidence,winter_wetness_hours,0.13178273,-0.5194640469733682
Zymoseptoria_tritici_Crop_Incidence,winter_wet_day_frac,0.1231731,-0.6982810796665846
Zymoseptoria_tritici_Crop_Incidence,winter_splash_risk,0.16049758,0.7280525084565234
Zymoseptoria_tritici_Crop_Incidence,spring_thermal_time,0.11696477,0.8396999945466811
Zymoseptoria_tritici_Crop_Incidence,spring_wetness_hours,0.3906588,0.8559276079012766
Zymoseptoria_tritici_Crop_Incidence,spring_wet_day_frac,0.48029622,0.737667836162594
Zymoseptoria_tritici_Crop_Incidence,spring_splash_risk,0.19376895,0.5235902991422567
Zymoseptoria_tritici_Crop_Incidence,spring_to_june_thermal_time,0.010645957,0.5462873311550253
Zymoseptoria_tritici_Crop_Incidence,spring_to_june_wetness_hours,0.40353674,0.9322329577469002
Zymoseptoria_tritici_Crop_Incidence,spring_to_june_wet_day_frac,0.18497705,0.8780173192553892
Zymoseptoria_tritici_Crop_Incidence,spring_to_june_splash_risk,0.098184034,-0.39632791583407323
Zymoseptoria_tritici_Crop_Incidence,season_total_thermal_time,0.3457119,0.6977502786577908
Zymoseptoria_tritici_Crop_Incidence,season_total_wetness_hours,0.11802168,0.5703730517774771
Zymoseptoria_tritici_Crop_Incidence,season_total_wet_day_frac,0.08707983,-0.40345609531064536
Zymoseptoria_tritici_Crop_Incidence,season_total_splash_risk,0.17204133,0.056550904347567356
Zymoseptoria_tritici_Crop_Incidence,fungicide_smoothed,1.5342041,-0.12147008071876841
Zymoseptoria_tritici_Crop_Incidence,fungicide_decay_dose,6.3776784,-0.3762353861897475
Zymoseptoria_tritici_Crop_Incidence,fungicide_residual_at_survey,1.0515076,-0.760969459689857
Zymoseptoria_tritici_Crop_Incidence,Unknown_ag_12,0.3475195,-0.6872619366061007
Zymoseptoria_tritici_Crop_Incidence,Cereals_ag_8_3,0.87200034,-0.8677513057186662
Zymoseptoria_tritici_Crop_Incidence,Percentage of fields with wheat thrice in previous 4 years (%)_ag_11,0.21883538,0.623532214716522
Zymoseptoria_tritici_Crop_Incidence,sow_offset,0.4756472,-0.5781646691251702
Zymoseptoria_tritici_Crop_Incidence,prop_anth,0.0866542,0.2897219216967157
Zymoseptoria_tritici_Crop_Incidence,prop_nature,0.13100585,0.6669262537347558
Zymoseptoria_tritici_Crop_Incidence,gs31_39_days,0.07244473,-0.8989205713365471
Zymoseptoria_tritici_Crop_Incidence,gs31_39_mean_temp,0.3212765,0.9625871922975455
Zymoseptoria_tritici_Crop_Incidence,gs31_39_total_precip,0.6475909,0.8395202156101487
Zymoseptoria_tritici_Crop_Incidence,gs31_39_wetness_hours,0.09951564,0.9244955472116919
Zymoseptoria_tritici_Crop_Incidence,gs31_39_splash_risk,0.42784524,0.8375094582543934
Zymoseptoria_tritici_Crop_Incidence,gs39_survey_days,0.050821017,0.493335437083583
