Region,Year,autumn_thermal_time,autumn_wetness_hours,autumn_wet_day_frac,autumn_splash_risk,winter_thermal_time,winter_wetness_hours,winter_wet_day_frac,winter_splash_risk,spring_thermal_time,spring_wetness_hours,spring_wet_day_frac,spring_splash_risk,spring_to_june_thermal_time,spring_to_june_wetness_hours,spring_to_june_wet_day_frac,spring_to_june_splash_risk,season_total_thermal_time,season_total_wetness_hours,season_total_wet_day_frac,season_total_splash_risk
East,1981,1152.3999999999996,1142.4,0.5494505494505495,75.99333333333334,582.9000000000001,1424.0,0.6666666666666666,63.27333333333333,1050.2,1475.1999999999998,0.6521739130434783,176.89333333333332,1378.3,1640.0,0.5803571428571429,181.07333333333332,3113.6,4206.4,0.5972696245733788,320.34000000000003
East,1982,1156.7,1328.0,0.5934065934065934,115.50666666666666,459.5,1700.8,0.8111111111111111,72.68666666666667,1014.4,926.4000000000001,0.3695652173913043,56.96,1388.7,1220.8,0.4017857142857143,83.34666666666666,3004.8999999999996,4249.6,0.5870307167235495,271.53999999999996
East,1983,1229.1,1518.4,0.7032967032967034,156.03333333333333,586.9,1318.4,0.5888888888888889,72.55333333333334,932.9000000000001,1481.6000000000001,0.6413043478260869,122.07333333333332,1261.1,1628.8,0.5714285714285714,131.54,3077.1000000000004,4465.6,0.6177474402730375,360.12666666666667
East,1984,1200.2,1305.6000000000001,0.5934065934065934,87.80000000000001,566.7,1558.4,0.7555555555555555,106.58666666666667,884.4000000000001,840.0,0.358695652173913,69.77333333333333,1223.5,1115.2,0.375,95.91333333333333,2995.9,3992.0,0.5612244897959183,290.3
East,1985,1247.7,1339.2,0.5824175824175825,94.33333333333334,456.1,1588.8,0.7333333333333333,55.81333333333334,958.5999999999999,1228.8,0.5108695652173914,111.78666666666668,1248.5,1532.8000000000002,0.5267857142857143,183.7866666666667,2952.3,4460.8,0.6075085324232082,333.93333333333334
East,1986,1135.2000000000003,1190.3999999999999,0.5384615384615384,39.2,505.59999999999997,1384.0,0.6333333333333333,116.32,912.3000000000001,1390.4,0.6086956521739131,135.74666666666667,1235.7,1553.6,0.5625,140.98666666666668,2876.5,4128.0,0.5767918088737202,294.00666666666666
East,1987,1147.0,1443.2000000000003,0.6703296703296703,99.91333333333333,520.1,1491.2,0.6888888888888889,69.48,958.4,1121.6,0.45652173913043476,100.52000000000001,1244.3000000000002,1515.1999999999998,0.5178571428571429,158.72000000000003,2911.3999999999996,4449.6,0.6177474402730375,326.62
East,1988,1161.1999999999998,1395.1999999999998,0.6043956043956044,136.92666666666668,693.9,1569.6,0.7111111111111111,110.19999999999999,1013.9,1176.0,0.5,117.41333333333334,1324.4,1348.8000000000002,0.4642857142857143,127.65333333333334,3184.2,4313.6,0.5816326530612245,374.78
East,1989,1135.8999999999999,1369.6,0.6263736263736264,73.69333333333334,781.5999999999999,1582.3999999999999,0.7222222222222222,42.45333333333333,1077.9000000000003,966.4,0.391304347826087,64.18666666666667,1415.4,1110.4,0.375,80.18666666666667,3332.9,4062.4,0.5597269624573379,196.33333333333331
East,1990,1245.3999999999999,1124.8000000000002,0.4725274725274725,65.10666666666665,799.4,1656.0,0.7444444444444445,148.7866666666667,1132.7999999999997,569.5999999999999,0.22826086956521738,19.186666666666667,1448.8999999999999,771.1999999999999,0.25892857142857145,21.186666666666667,3493.7,3552.0,0.47440273037542663,235.08
