Region,Year,GS31_doy,GS39_doy,GS61_doy,GS75_doy,flagleaf_exposure_days,survey_cum_cdd,survey_gs_progress,gs31_39_days,gs31_39_mean_temp,gs31_39_total_precip,gs31_39_mean_rh,gs31_39_wetness_hours,gs31_39_splash_risk,gs39_survey_days,gs39_survey_mean_temp,gs39_survey_total_precip,gs39_survey_mean_rh,gs39_survey_wetness_hours,gs39_survey_splash_risk,gs61_survey_days,gs61_survey_mean_temp,gs61_survey_total_precip,gs61_survey_mean_rh,gs61_survey_wetness_hours,gs61_survey_splash_risk,pre_survey_14d_days,pre_survey_14d_mean_temp,pre_survey_14d_total_precip,pre_survey_14d_mean_rh,pre_survey_14d_wetness_hours,pre_survey_14d_splash_risk,pre_survey_30d_days,pre_survey_30d_mean_temp,pre_survey_30d_total_precip,pre_survey_30d_mean_rh,pre_survey_30d_wetness_hours,pre_survey_30d_splash_risk
East,1991,105.0,138.0,163.0,185.0,33.0,1227.0000000000005,0.7622003834781789,34.0,7.688235294117646,51.2,75.32352941176471,347.20000000000005,22.400000000000002,34.0,11.867647058823527,54.2,77.08823529411765,432.0,28.8,9.0,12.21111111111111,31.0,77.66666666666667,158.4,18.5,15.0,12.42666666666667,46.0,77.93333333333334,284.79999999999995,25.299999999999997,31.0,11.816129032258065,54.2,76.74193548387096,404.79999999999995,28.8
East,1992,103.0,128.0,149.0,168.0,44.0,1502.5999999999997,1.077251991886644,26.0,9.773076923076923,52.3,74.23076923076923,296.0,26.3,45.0,15.119999999999997,59.8,74.31111111111112,331.2,31.69333333333333,24.0,15.745833333333332,48.099999999999994,76.375,288.0,31.693333333333335,15.0,15.626666666666669,14.799999999999999,74.0,96.00000000000001,4.893333333333333,31.0,16.21290322580645,48.5,74.58064516129032,288.0,31.69333333333333
East,1993,100.0,124.0,149.0,169.0,47.0,1485.9,1.0526270473542614,25.0,10.468,41.300000000000004,80.28,288.0,27.46,48.0,13.485416666666666,116.80000000000001,75.875,454.4000000000001,72.32666666666667,23.0,15.234782608695653,49.7,76.56521739130434,240.0,18.666666666666668,15.0,15.793333333333335,38.8,77.06666666666666,152.0,15.233333333333333,31.0,14.648387096774192,92.10000000000001,76.87096774193549,312.0,58.06
East,1994,109.0,131.0,157.0,177.0,40.0,1362.5000000000005,0.8942766693042993,23.0,11.29565217391304,25.599999999999998,75.43478260869566,190.39999999999998,11.2,41.0,12.560975609756097,46.699999999999996,75.21951219512195,323.2,26.72,15.0,14.49333333333333,4.3999999999999995,71.4,57.6,0.3333333333333333,15.0,14.49333333333333,4.3999999999999995,71.4,57.6,0.3333333333333333,31.0,12.851612903225805,34.300000000000004,74.41935483870968,214.4,23.693333333333335
East,1995,100.0,126.0,152.0,175.0,45.0,1379.2000000000003,0.9400011944926708,27.0,9.785185185185187,17.700000000000003,74.07407407407408,187.20000000000002,7.2,46.0,12.049999999999999,59.9,72.04347826086956,332.8,25.6,20.0,12.705000000000002,25.300000000000004,75.2,160.0,11.4,15.0,12.680000000000001,10.899999999999999,74.2,88.0,0.0,31.0,13.061290322580644,34.30000000000001,73.58064516129032,212.79999999999998,11.4
East,1996,122.0,151.0,169.0,190.0,21.0,1176.1999999999996,0.7110403918037239,30.0,8.95,35.1,73.36666666666666,292.8,23.9,22.0,16.10909090909091,2.5000000000000004,63.90909090909091,0.0,0.0,4.0,14.975,0.0,61.75,0.0,0.0,15.0,16.619999999999997,1.3,62.46666666666667,0.0,0.0,31.0,14.78709677419355,21.7,68.25806451612904,156.8,14.5
East,1997,95.0,123.0,150.0,169.0,48.0,1441.5999999999995,1.0352361855226644,29.0,9.196551724137931,22.599999999999998,71.13793103448276,110.4,8.0,49.0,13.085714285714287,107.5,73.53061224489795,505.6,51.60666666666667,22.0,15.045454545454549,48.900000000000006,72.18181818181819,200.0,13.799999999999999,15.0,15.419999999999998,47.800000000000004,75.06666666666666,172.8,13.799999999999999,31.0,13.722580645161294,50.2,71.70967741935483,224.0,13.799999999999999
East,1998,87.0,117.0,141.0,164.0,54.0,1529.6999999999994,1.1333292269158761,31.0,8.45483870967742,116.7,80.93548387096774,606.4000000000001,98.94,55.0,13.06,101.8,78.0,638.4,53.60666666666667,31.0,13.54193548387097,89.0,78.70967741935483,481.59999999999997,52.34,15.0,14.166666666666664,58.300000000000004,81.46666666666667,294.4,42.839999999999996,31.0,13.54193548387097,89.0,78.70967741935483,481.59999999999997,52.34
East,1999,94.0,121.0,144.0,167.0,50.0,1500.4000000000003,1.0912950791517892,28.0,9.25357142857143,53.099999999999994,78.89285714285714,326.4000000000001,24.060000000000002,51.0,13.358823529411763,95.60000000000001,75.25490196078431,473.6,32.57333333333334,28.0,13.825,70.39999999999999,76.07142857142857,288.0,22.413333333333334,15.0,13.813333333333333,37.1,77.13333333333334,164.8,19.213333333333335,31.0,13.748387096774193,70.89999999999999,75.48387096774194,291.20000000000005,22.413333333333334
East,2000,98.0,126.0,149.0,170.0,46.0,1498.5000000000007,1.068860518013249,29.0,8.920689655172414,74.6,80.17241379310344,457.59999999999997,42.199999999999996,47.0,14.07446808510638,112.4,76.95744680851064,600.0000000000001,67.88666666666667,24.0,15.045833333333333,47.00000000000001,74.875,222.39999999999998,24.0,15.0,16.46666666666667,17.1,72.33333333333333,97.6,1.4000000000000004,31.0,14.199999999999998,84.30000000000001,75.70967741935483,368.0,54.54
East,2001,117.0,140.0,163.0,182.0,31.0,1241.8,0.7831149538212062,24.0,10.575000000000001,44.8,75.29166666666667,180.8,18.3,32.0,13.378125,38.9,72.0625,216.0,28.0,9.0,14.11111111111111,28.099999999999998,73.66666666666667,96.0,24.1,15.0,12.979999999999999,36.1,72.53333333333333,168.0,28.0,31.0,13.390322580645162,38.9,71.96774193548387,216.0,28.0
East,2002,86.0,114.0,141.0,163.0,57.0,1567.6000000000006,1.167255513858834,29.0,8.848275862068967,4.300000000000001,73.89655172413794,105.60000000000001,0.0,58.0,12.948275862068966,123.5,76.17241379310344,716.8,44.6,31.0,14.277419354838708,68.89999999999999,75.61290322580645,388.8,15.299999999999999,15.0,15.440000000000001,17.7,76.6,168.0,8.2,31.0,14.277419354838708,68.89999999999999,75.61290322580645,388.8,15.299999999999999
East,2003,106.0,127.0,151.0,169.0,44.0,1473.6,1.0562223579400078,22.0,11.863636363636363,29.8,70.63636363636364,120.0,6.2,45.0,14.533333333333331,99.0,74.0,534.4,44.5,21.0,16.847619047619045,57.8,73.80952380952381,217.6,28.700000000000003,15.0,16.726666666666667,27.1,72.0,121.6,14.1,31.0,16.04193548387097,68.2,74.41935483870968,318.40000000000003,32.4
East,2004,100.0,125.0,150.0,168.0,47.0,1489.1000000000004,1.0765184258005365,26.0,9.973076923076924,56.2,78.42307692307692,236.8,20.060000000000002,48.0,13.9125,44.900000000000006,74.70833333333333,328.0,11.38,23.0,16.186956521739134,24.600000000000005,73.34782608695652,142.4,1.0800000000000003,15.0,16.92,10.0,70.4,49.6,0.0,31.0,14.90645161290323,25.000000000000004,72.6774193548387,144.0,1.0800000000000003
